"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"2009","Baccalaureate/Liberal Arts I","Social Science Education","Female","23","."
"2009","Baccalaureate/Liberal Arts I","Social Science Education","Male","15","3"
"2009","Baccalaureate/Liberal Arts I","Other Science/Technical Education","Male","2","."
"2009","Baccalaureate/Liberal Arts I","Non-Science Education","Female","1,708","186"
"2009","Baccalaureate/Liberal Arts I","Non-Science Education","Male","646","75"
"2009","Baccalaureate/Liberal Arts I","Business and Management","Female","2,420","223"
"2009","Baccalaureate/Liberal Arts I","Business and Management","Male","3,482","263"
"2009","Baccalaureate/Liberal Arts I","Communication and Librarianship","Female","961","154"
"2009","Baccalaureate/Liberal Arts I","Communication and Librarianship","Male","542","68"
"2009","Baccalaureate/Liberal Arts I","Law","Female","36","7"
"2009","Baccalaureate/Liberal Arts I","Law","Male","17","5"
"2009","Baccalaureate/Liberal Arts I","Social Service Professions","Female","260","8"
"2009","Baccalaureate/Liberal Arts I","Social Service Professions","Male","38","."
"2009","Baccalaureate/Liberal Arts I","Vocational Studies and Home Economics","Female","160","52"
"2009","Baccalaureate/Liberal Arts I","Vocational Studies and Home Economics","Male","59","8"
"2009","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Female","1,499","161"
"2009","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Male","869","84"
"2009","Art, Music, and Design","Computer Science","Female","54","."
"2009","Art, Music, and Design","Computer Science","Male","138","."
"2009","Art, Music, and Design","Area and Ethnic Studies","Female","5","."
"2009","Art, Music, and Design","Area and Ethnic Studies","Male","2","."
"2009","Art, Music, and Design","Other Social Sciences","Female","1","."
"2009","Art, Music, and Design","Engineering Technologies","Female","27","3"
"2009","Art, Music, and Design","Engineering Technologies","Male","151","18"
"2009","Art, Music, and Design","Health Technologies","Female","19","."
"2009","Art, Music, and Design","Health Technologies","Male","2","."
"2009","Art, Music, and Design","Arts and Music","Female","5,746","44"
"2009","Art, Music, and Design","Arts and Music","Male","3,946","31"
"2009","Art, Music, and Design","Architecture and Environmental Design","Female","269","."
"2009","Art, Music, and Design","Architecture and Environmental Design","Male","284","."
"2009","Art, Music, and Design","Non-Science Education","Female","80","."
"2009","Art, Music, and Design","Non-Science Education","Male","42","."
"2009","Art, Music, and Design","Business and Management","Female","709","2"
"2009","Art, Music, and Design","Business and Management","Male","154","1"
"2009","Art, Music, and Design","Communication and Librarianship","Female","240","."
"2009","Art, Music, and Design","Communication and Librarianship","Male","99","."
"2009","Art, Music, and Design","Vocational Studies and Home Economics","Female","89","."
"2009","Art, Music, and Design","Vocational Studies and Home Economics","Male","11","."
"2009","Art, Music, and Design","Other Non-sciences or Unknown Disciplines","Female","259","2"
"2009","Art, Music, and Design","Other Non-sciences or Unknown Disciplines","Male","472","."
"2009","Associate of Arts/Two Year","Electrical Engineering","Female","6","."
"2009","Associate of Arts/Two Year","Electrical Engineering","Male","84","."
"2009","Associate of Arts/Two Year","Mechanical Engineering","Female","3","."
"2009","Associate of Arts/Two Year","Mechanical Engineering","Male","73","."
"2009","Associate of Arts/Two Year","Industrial Engineering","Female","2","."
"2009","Associate of Arts/Two Year","Industrial Engineering","Male","17","."
"2009","Associate of Arts/Two Year","Chemistry","Female","2","1"
"2009","Associate of Arts/Two Year","Chemistry","Male","15","."
"2009","Associate of Arts/Two Year","Physics","Female","2","."
"2009","Associate of Arts/Two Year","Physics","Male","16","."
"2009","Associate of Arts/Two Year","Other Physical Sciences","Male","1","."
"2009","Associate of Arts/Two Year","Earth Sciences","Female","3","."
"2009","Associate of Arts/Two Year","Earth Sciences","Male","13","."
"2009","Associate of Arts/Two Year","Mathematics and Statistics","Female","9","1"
"2009","Associate of Arts/Two Year","Mathematics and Statistics","Male","23","."
"2009","Associate of Arts/Two Year","Computer Science","Female","518","2"
"2009","Associate of Arts/Two Year","Computer Science","Male","2,157","25"
"2009","Associate of Arts/Two Year","Agricultural Sciences","Female","98","."
"2009","Associate of Arts/Two Year","Agricultural Sciences","Male","147","."
"2009","Associate of Arts/Two Year","Biological Sciences","Female","265","."
"2009","Associate of Arts/Two Year","Biological Sciences","Male","312","."
"2009","Associate of Arts/Two Year","Medical Sciences","Female","404","."
"2009","Associate of Arts/Two Year","Medical Sciences","Male","80","."
"2009","Associate of Arts/Two Year","Other Life Sciences","Female","1,383","1"
"2009","Associate of Arts/Two Year","Other Life Sciences","Male","274","."
"2009","Associate of Arts/Two Year","Psychology","Female","674","2"
"2009","Associate of Arts/Two Year","Psychology","Male","200","."
"2009","Associate of Arts/Two Year","Economics","Female","3","."
"2009","Associate of Arts/Two Year","Economics","Male","27","."
"2009","Associate of Arts/Two Year","Political Science and Public Administration","Female","117","."
"2009","Associate of Arts/Two Year","Political Science and Public Administration","Male","60","."
"2009","Associate of Arts/Two Year","Sociology","Female","57","."
"2009","Associate of Arts/Two Year","Sociology","Male","38","1"
"2009","Associate of Arts/Two Year","Anthropology","Female","3","1"
"2009","Associate of Arts/Two Year","Area and Ethnic Studies","Female","6","."
"2009","Associate of Arts/Two Year","Area and Ethnic Studies","Male","12","."
"2009","Associate of Arts/Two Year","Other Social Sciences","Female","78","1"
"2009","Associate of Arts/Two Year","Other Social Sciences","Male","34","."
"2009","Associate of Arts/Two Year","Science Technologies","Female","7","."
"2009","Associate of Arts/Two Year","Science Technologies","Male","1","."
"2009","Associate of Arts/Two Year","Engineering Technologies","Female","99","."
"2009","Associate of Arts/Two Year","Engineering Technologies","Male","882","."
"2009","Associate of Arts/Two Year","Health Technologies","Female","351","13"
"2009","Associate of Arts/Two Year","Health Technologies","Male","36","2"
"2009","Associate of Arts/Two Year","Interdisciplinary or Other Sciences","Female","48","."
"2009","Associate of Arts/Two Year","Interdisciplinary or Other Sciences","Male","37","10"
"2009","Associate of Arts/Two Year","History","Female","81","4"
"2009","Associate of Arts/Two Year","History","Male","126","3"
"2009","Associate of Arts/Two Year","English and Literature","Female","231","2"
"2009","Associate of Arts/Two Year","English and Literature","Male","90","."
"2009","Associate of Arts/Two Year","Foreign Languages","Female","7","4"
"2009","Associate of Arts/Two Year","Foreign Languages","Male","16","."
"2009","Associate of Arts/Two Year","Other Humanities","Female","6","."
"2009","Associate of Arts/Two Year","Other Humanities","Male","5","."
"2009","Associate of Arts/Two Year","Religion and Theology","Female","32","."
"2009","Associate of Arts/Two Year","Religion and Theology","Male","74","."
"2009","Associate of Arts/Two Year","Arts and Music","Female","1,714","74"
"2009","Associate of Arts/Two Year","Arts and Music","Male","1,266","14"
"2009","Associate of Arts/Two Year","Architecture and Environmental Design","Female","22","."
"2009","Associate of Arts/Two Year","Architecture and Environmental Design","Male","49","."
"2009","Associate of Arts/Two Year","Science Education","Female","22","."
"2009","Associate of Arts/Two Year","Science Education","Male","23","."
"2009","Associate of Arts/Two Year","Mathematics Education","Female","52","."
"2009","Associate of Arts/Two Year","Mathematics Education","Male","18","."
"2009","Associate of Arts/Two Year","Social Science Education","Female","22","."
"2009","Associate of Arts/Two Year","Social Science Education","Male","31","."
"2009","Associate of Arts/Two Year","Other Science/Technical Education","Female","42","."
"2009","Associate of Arts/Two Year","Other Science/Technical Education","Male","17","."
"2009","Associate of Arts/Two Year","Non-Science Education","Female","1,871","3"
"2009","Associate of Arts/Two Year","Non-Science Education","Male","351","."
"2009","Associate of Arts/Two Year","Business and Management","Female","5,648","22"
"2009","Associate of Arts/Two Year","Business and Management","Male","4,448","9"
"2009","Associate of Arts/Two Year","Communication and Librarianship","Female","486","."
"2009","Associate of Arts/Two Year","Communication and Librarianship","Male","341","."
"2009","Associate of Arts/Two Year","Law","Female","75","1"
"2009","Associate of Arts/Two Year","Law","Male","10","1"
"2009","Associate of Arts/Two Year","Social Service Professions","Female","233","."
"2009","Associate of Arts/Two Year","Social Service Professions","Male","42","."
"2009","Associate of Arts/Two Year","Vocational Studies and Home Economics","Female","1,388","."
"2009","Associate of Arts/Two Year","Vocational Studies and Home Economics","Male","846","."
"2009","Associate of Arts/Two Year","Other Non-sciences or Unknown Disciplines","Female","1,186","."
"2009","Associate of Arts/Two Year","Other Non-sciences or Unknown Disciplines","Male","1,192","2"
"2009","Not Classified","Civil Engineering","Female","13","."
"2009","Not Classified","Civil Engineering","Male","15","."
"2009","Not Classified","Electrical Engineering","Female","7","."
"2009","Not Classified","Electrical Engineering","Male","110","."
"2009","Not Classified","Mechanical Engineering","Female","8","."
"2009","Not Classified","Mechanical Engineering","Male","14","."
"2009","Not Classified","Industrial Engineering","Male","5","."
"2009","Not Classified","Other Engineering","Female","19","."
"2009","Not Classified","Other Engineering","Male","27","."
"2009","Not Classified","Chemistry","Female","6","."
"2009","Not Classified","Chemistry","Male","12","1"
"2009","Not Classified","Earth Sciences","Male","2","."
"2009","Not Classified","Mathematics and Statistics","Female","22","."
"2009","Not Classified","Mathematics and Statistics","Male","16","1"
"2009","Not Classified","Computer Science","Female","992","3"
"2009","Not Classified","Computer Science","Male","3,839","1"
"2009","Not Classified","Agricultural Sciences","Female","49","."
"2009","Not Classified","Agricultural Sciences","Male","68","."
"2009","Not Classified","Biological Sciences","Female","251","."
"2009","Not Classified","Biological Sciences","Male","190","."
"2009","Not Classified","Medical Sciences","Female","43","."
"2009","Not Classified","Medical Sciences","Male","20","."
"2009","Not Classified","Other Life Sciences","Female","3,323","2"
"2009","Not Classified","Other Life Sciences","Male","737","."
"2009","Not Classified","Psychology","Female","585","12"
"2009","Not Classified","Psychology","Male","148","3"
"2009","Not Classified","Economics","Female","7","3"
"2009","Not Classified","Economics","Male","15","7"
"2009","Not Classified","Political Science and Public Administration","Female","255","5"
"2009","Not Classified","Political Science and Public Administration","Male","136","3"
"2009","Not Classified","Sociology","Female","52","4"
"2009","Not Classified","Sociology","Male","26","1"
"2009","Not Classified","Anthropology","Female","11","."
"2009","Not Classified","Anthropology","Male","1","."
"2009","Not Classified","Area and Ethnic Studies","Female","13","."
"2009","Not Classified","Area and Ethnic Studies","Male","12","."
"2009","Not Classified","Other Social Sciences","Female","267","3"
"2009","Not Classified","Other Social Sciences","Male","215","."
"2009","Not Classified","Engineering Technologies","Female","107","."
"2009","Not Classified","Engineering Technologies","Male","944","."
"2009","Not Classified","Health Technologies","Female","417","."
"2009","Not Classified","Health Technologies","Male","113","."
"2009","Not Classified","Other Science and Engineering Technologies","Female","1","."
"2009","Not Classified","Other Science and Engineering Technologies","Male","12","."
"2009","Not Classified","Interdisciplinary or Other Sciences","Female","5","1"
"2009","Not Classified","Interdisciplinary or Other Sciences","Male","6","."
"2009","Not Classified","History","Female","62","2"
"2009","Not Classified","History","Male","120","2"
"2009","Not Classified","English and Literature","Female","122","3"
"2009","Not Classified","English and Literature","Male","45","1"
"2009","Not Classified","Foreign Languages","Female","19","3"
